Equipment_ID,Date,Maintenance_Type,Issue_Description,Target
Equipment_1,2023-03-15,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_2,2022-12-14,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-09-21,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-03-12,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-05-26,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2022-10-22,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-02-07,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-06-30,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-08-07,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-04-15,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-22,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-04-13,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-02-07,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-01-07,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-08-13,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-06-18,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-04-09,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-11-27,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-03-31,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-06-13,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-02-25,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-09-05,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2022-10-24,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-07-22,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-04-25,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-08-06,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-03-11,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-12-31,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-04-06,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-01-04,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2023-02-08,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-02-06,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-07-31,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-06-05,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-12-15,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-12-10,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-05-27,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2023-04-15,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-06-23,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-02-05,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-04-12,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-05-24,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-03-12,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2022-11-07,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-09-16,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-05-15,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-03-29,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2022-12-15,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-05-23,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-10-03,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-09-05,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-05-29,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-04-20,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-04-25,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-01-31,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_3,2022-10-29,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-09-06,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-05-07,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-08-17,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-05-01,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-06-26,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2022-11-07,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-10-20,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-10-09,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-11-19,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-04-30,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-05-19,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2022-11-11,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-09-04,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-07-07,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-09-16,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-05-22,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-03-07,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-09-15,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-07-28,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-04-23,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-10-01,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-02-19,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-12-21,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-11-02,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-02-27,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-01-03,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-01-20,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2022-10-20,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-01-19,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-04-13,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-06-24,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-11-28,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-06-28,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-06-18,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-26,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_1,2023-10-16,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-03-19,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-08-04,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-07-08,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-06-22,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-06-04,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-01-09,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-12,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-05-11,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-11-29,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2022-12-20,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-04-19,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2023-08-08,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-08-05,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-07-22,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-10-12,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-08-02,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-05-05,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-01-31,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2022-11-12,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-02-08,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-01-26,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-04-17,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-01-17,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-06-15,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-07-03,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-06-06,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-06-19,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-05-26,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-06-25,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2022-12-29,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2022-10-27,Corrective Maintenance,Wear and Tear,Failure
Equipment_2,2023-06-04,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-05-18,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-01-08,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2023-07-30,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-01-09,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-05-22,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-03-20,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2022-10-17,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-09-16,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-09-22,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-08-03,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-04-21,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-06-18,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-02-25,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-04-17,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-09-18,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-09-27,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-06-13,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-02-17,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-09-18,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-09-25,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2022-10-18,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-10-06,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-31,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-03-24,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2022-12-18,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2023-10-12,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-03-26,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-09-24,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-05-27,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-02-05,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2022-12-25,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-03-05,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-11-25,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-03-03,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-07-12,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-12-21,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-11-20,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2022-11-30,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-02-04,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-04-17,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-04-14,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-11-05,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2022-11-30,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-01-28,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2022-12-08,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-08-08,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-10-01,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-09-04,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-07-06,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2022-10-22,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-10-12,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2022-12-14,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2022-12-15,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-12-26,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2022-10-30,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-12-10,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-09-28,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-12-16,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-02-05,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2022-11-02,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-09-03,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-04-09,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-10-13,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-01-18,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-08-23,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-01-08,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-06-14,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-09-24,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-03-03,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_3,2023-08-30,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-07-10,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-08-18,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-08-30,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2022-11-11,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_1,2023-03-18,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2022-11-23,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-09-24,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-04-29,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-09-29,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-01-08,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-05-22,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2023-06-03,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2022-12-27,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-03-30,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-08-21,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-25,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_3,2022-11-14,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-03-06,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-09-09,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-01-05,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-08-03,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2022-12-31,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-08-08,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2022-12-04,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-07-07,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-11-15,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-05-10,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-07-28,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-04-05,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-10-04,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-03-06,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-07-30,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-08,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2022-12-28,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2022-11-08,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-28,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2023-03-30,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-09-28,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-09-04,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-06-29,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-11-28,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2022-12-22,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-09-13,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-10-16,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-01-30,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-03-02,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-07-14,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-07-16,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-06-06,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-08-10,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-01-25,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-07-31,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-07-30,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-01-07,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-01-06,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-04-22,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-06-01,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-02-25,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_2,2023-02-12,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-06-05,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-07-26,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-07-13,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-04-25,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-01-20,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2023-06-30,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-07-20,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2022-11-23,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-02-23,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-07-23,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-05-18,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-03-18,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2022-12-28,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-06-19,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-06-02,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-11-21,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2022-12-06,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-03-26,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2023-04-28,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-06-12,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-07-15,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-05-10,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-03-07,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-06-12,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-03-18,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-06-05,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-03-03,Scheduled Inspection,Wear and Tear,Failure
Equipment_2,2023-01-21,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-03-19,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-05-29,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-05-18,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-07-06,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-09-20,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-05-10,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-02-15,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-11-25,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-01-18,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-08-31,Corrective Maintenance,Normal Maintenance,Failure
Equipment_2,2023-04-05,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-04-15,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2023-10-08,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-01-16,Scheduled Inspection,Vibration Issue,Failure
Equipment_2,2023-06-29,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2023-05-30,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-09-02,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-08-16,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-08-13,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2022-11-26,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2022-11-19,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-08-01,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2022-11-06,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-04-22,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-05-23,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-05-28,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-04-10,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2022-11-18,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-06-10,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-07-31,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-03-20,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-04-15,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-06-04,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2022-11-15,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-03-20,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2022-11-21,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2022-11-26,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-09-10,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-02-25,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2022-10-31,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-11-04,Preventive Maintenance,Normal Maintenance,Failure
Equipment_2,2023-10-07,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-05-23,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-04-20,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-10-06,Corrective Maintenance,Normal Maintenance,Failure
Equipment_3,2023-05-01,Preventive Maintenance,Sensor Failure,Failure
Equipment_1,2023-06-09,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-07-05,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-01-01,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2022-12-09,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2022-11-29,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-06-06,Scheduled Inspection,Wear and Tear,Failure
Equipment_1,2022-12-15,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-03-08,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-04-04,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-02-05,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-05-04,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-08-09,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-02-21,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-04-29,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2022-12-26,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-07-27,Scheduled Inspection,Vibration Issue,Failure
Equipment_3,2023-05-13,Corrective Maintenance,Vibration Issue,Failure
Equipment_1,2023-06-18,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-02-24,Corrective Maintenance,Sensor Failure,Failure
Equipment_1,2023-05-24,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-03-01,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-01-13,Corrective Maintenance,Normal Maintenance,Failure
Equipment_2,2023-10-05,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_3,2022-12-04,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-08-12,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-07-09,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-05-19,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-04-11,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2023-03-08,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2022-11-21,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2023-03-20,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2022-12-05,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-11-07,Corrective Maintenance,Wear and Tear,Failure
Equipment_1,2023-03-28,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-04-05,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2022-11-30,Scheduled Inspection,Sensor Failure,Failure
Equipment_2,2022-12-02,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-02-22,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_1,2023-09-30,Scheduled Inspection,Normal Maintenance,Failure
Equipment_3,2023-06-24,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-09-18,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-04-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-07-09,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-08-29,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2022-10-21,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_1,2023-06-24,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_2,2023-03-04,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-06-16,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2022-11-16,Corrective Maintenance,Sensor Failure,Failure
